CTAC,CTLESS,LABEL
-3.4076555077705097,-3.396719518229453,1
-3.2654061757463126,-3.3470529864152705,1
-2.780383837207123,-3.18429627643315,1
-3.2036904100854255,-3.376011929987119,1
-2.9153702510261517,-3.434336926802098,1
-2.7461011482768276,-3.196754797318306,1
-3.207445529456506,-3.7141846296763052,1
-3.022422239012773,-3.299353427910731,1
-2.94452390188822,-3.4275810532996394,1
-1.5602297385982116,-2.126534235735477,1
-1.2735102555941962,-1.650248589768013,1
-1.1645163844846185,-1.3999550854499065,1
-2.3716371601740374,-2.58810416787216,1
-2.179298942997377,-2.570353640460016,1
-1.8771622186917853,-2.214709680960558,1
-2.6183224593932692,-3.2670238816588473,1
-2.5693567740763794,-3.102514030401891,1
-2.501551609093763,-2.948965082659067,1
-2.294153692176952,-2.465929193557119,1
-2.218903601058854,-2.147671567266827,1
-2.488254111328551,-2.427845282257271,1
-3.013976386064008,-3.372379428585785,1
-3.1688308001089105,-3.2464723313466735,1
-3.185988448781071,-3.1703957221776164,1
-3.501624309556856,-3.226310068438507,1
-3.3525110792694277,-3.18538576781397,1
-3.2058037712740113,-3.1080443607339907,1
-2.678445992462221,-2.5572638728385138,1
-2.5084981426012956,-2.40518066632945,1
-2.3127328305265484,-2.0306997739440193,1
-1.8936151337371743,-2.4459366369428253,1
-2.1166205557108584,-2.3363147478856074,1
-2.2695714817230397,-2.140787349955542,1
-3.227532103692707,-3.577444900111252,1
-2.7398038458152616,-3.383568401435254,1
-2.41300249604479,-3.62874400345979,1
-2.5046453709730385,-2.5409594518785825,1
-2.5009216388202384,-2.5331415174978864,1
-2.3194344090836343,-2.362751217274102,1
-1.9385199270691835,-2.7439584512990196,1
-1.9168106865609218,-2.71011741024188,1
-2.10075375267231,-2.6183044558904727,1
-2.123124525070673,-1.8771868553493185,1
-2.2215222542700177,-1.7090790022475013,1
-2.1526980716915336,-1.7581864953600879,1
-1.8267327377165405,-2.3700137672817307,1
-1.9951993763394107,-2.271423980510258,1
-1.9428508288579551,-2.2199802498854,1
-2.6216757631223304,-3.228115255497228,1
-2.2268788986914254,-2.774631245793517,1
-1.7316542744696681,-2.5826512296046515,1
-2.346778912698741,-2.2295093061177127,1
-1.8986102934594784,-1.9651041466246315,1
-1.5680602911375052,-1.7271932933148464,1
-1.9118246689942247,-2.311528121818318,1
-1.7323330832046635,-2.207760790521015,1
-1.6003577765506862,-2.2093044811441302,1
-0.9548912775695537,-1.5481674118551358,1
-0.836094261189665,-1.2361742703322651,1
-0.836390731050662,-0.8646108038845517,1
-2.853307893451152,-3.3254009753010956,1
-2.7010045589501805,-2.7030920065367816,1
-2.57135723925778,-2.569125727241426,1
-2.2328328954713426,-2.792944416526222,1
-2.6792203282940066,-2.757703168794828,1
-3.0386840506960073,-2.8856708489730956,1
-2.8103643544632795,-3.195398743009605,1
-2.5659846192370863,-3.1740653477721374,1
-2.1890925008635236,-3.10100166492191,1
-1.0007865883968288,-1.2711980776515888,1
-1.1005282925502105,-1.3620244342577448,1
-1.306974522176315,-1.467226842713484,1
-2.8791421935463557,-2.9879228659866,1
-2.6057157559828816,-3.079702854137239,1
-2.471427235444195,-3.3768705793361424,1
-1.519345292190358,-1.5382634584011647,1
